stub_file,require_literal,resolved_path,exists,size_bytes,mtime,notes
classes/Http/Handlers/Admin/InviteTreeHandler.php,/../../../../admin/invite_tree.php,admin/invite_tree.php,yes,18049,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/EditlogHandler.php,/../../../../admin/editlog.php,admin/editlog.php,yes,7373,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/HitAndRunHandler.php,/../../../../admin/hit_and_run.php,admin/hit_and_run.php,yes,10312,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/UploadappsHandler.php,/../../../../admin/uploadapps.php,admin/uploadapps.php,yes,15601,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/LeechwarnHandler.php,/../../../../admin/leechwarn.php,admin/leechwarn.php,yes,9333,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/MegaSearchHandler.php,/../../../../admin/mega_search.php,admin/mega_search.php,yes,22712,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/ViewPeersHandler.php,/../../../../admin/view_peers.php,admin/view_peers.php,yes,7850,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/IpsearchHandler.php,/../../../../admin/ipsearch.php,admin/ipsearch.php,yes,10053,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/BannedemailsHandler.php,/../../../../admin/bannedemails.php,admin/bannedemails.php,yes,4592,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/MassBonusForMembersHandler.php,/../../../../admin/mass_bonus_for_members.php,admin/mass_bonus_for_members.php,yes,16808,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/LoadHandler.php,/../../../../admin/load.php,admin/load.php,yes,6020,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/ChangelogHandler.php,/../../../../admin/changelog.php,admin/changelog.php,yes,1200,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/ThemesHandler.php,/../../../../admin/themes.php,admin/themes.php,yes,15498,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/DoubleusersHandler.php,/../../../../admin/doubleusers.php,admin/doubleusers.php,yes,5215,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/ForumConfigHandler.php,/../../../../admin/forum_config.php,admin/forum_config.php,yes,8016,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/FreeusersHandler.php,/../../../../admin/freeusers.php,admin/freeusers.php,yes,5318,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/ReferrersHandler.php,/../../../../admin/referrers.php,admin/referrers.php,yes,3953,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/BackupHandler.php,/../../../../admin/backup.php,admin/backup.php,yes,11797,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/MemcacheHandler.php,/../../../../admin/memcache.php,admin/memcache.php,yes,29353,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/UpgradeDatabaseHandler.php,/../../../../admin/upgrade_database.php,admin/upgrade_database.php,yes,6807,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/DonationsHandler.php,/../../../../admin/donations.php,admin/donations.php,yes,5224,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/ModdedTorrentsHandler.php,/../../../../admin/modded_torrents.php,admin/modded_torrents.php,yes,17441,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/AllagentsHandler.php,/../../../../admin/allagents.php,admin/allagents.php,yes,1731,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/StatsExtraHandler.php,/../../../../admin/stats_extra.php,admin/stats_extra.php,yes,20874,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/HitAndRunSettingsHandler.php,/../../../../admin/hit_and_run_settings.php,admin/hit_and_run_settings.php,yes,7581,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/SiteSettingsHandler.php,/../../../../admin/site_settings.php,admin/site_settings.php,yes,12463,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/ForumManageHandler.php,/../../../../admin/forum_manage.php,admin/forum_manage.php,yes,17091,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/CheatersHandler.php,/../../../../admin/cheaters.php,admin/cheaters.php,yes,6382,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/OverForumsHandler.php,/../../../../admin/over_forums.php,admin/over_forums.php,yes,12191,2025-10-05 09:18:48,
classes/Http/Handlers/Admin/GrouppmHandler.php,/../../../../admin/grouppm.php,admin/grouppm.php,yes,8415,2025-10-05 09:18:48,
classes/Http/Handlers/Public/MybonusHandler.php,/../../../../public/mybonus.php,public/mybonus.php,yes,47828,2025-10-05 09:18:48,
classes/Http/Handlers/Public/SetclassHandler.php,/../../../../public/setclass.php,public/setclass.php,yes,3090,2025-10-05 09:18:48,
classes/Http/Handlers/Public/SubtitlesHandler.php,/../../../../public/subtitles.php,public/subtitles.php,yes,24842,2025-10-05 09:18:48,
classes/Http/Handlers/Public/TriviaResultsHandler.php,/../../../../public/trivia_results.php,public/trivia_results.php,yes,3331,2025-10-05 09:18:48,
classes/Http/Handlers/Public/UsercpHandler.php,/../../../../public/usercp.php,public/usercp.php,yes,210,2025-10-05 09:18:48,
classes/Http/Handlers/Public/CategoryidsHandler.php,/../../../../public/categoryids.php,public/categoryids.php,yes,2161,2025-10-05 09:18:48,
classes/Http/Handlers/Public/AnnouncementHandler.php,/../../../../public/announcement.php,public/announcement.php,yes,5696,2025-10-05 09:18:48,
classes/Http/Handlers/Public/RssPdoDemoHandler.php,/../../../../public/rss_pdo_demo.php,public/rss_pdo_demo.php,yes,1247,2025-10-05 09:18:48,
classes/Http/Handlers/Public/VerifyEmailHandler.php,/../../../../public/verify_email.php,public/verify_email.php,yes,1816,2025-10-05 09:18:48,
classes/Http/Handlers/Public/AjaxchatHandler.php,/../../../../public/ajaxchat.php,public/ajaxchat.php,yes,664,2025-10-05 09:18:48,
classes/Http/Handlers/Public/UsercommentHandler.php,/../../../../public/usercomment.php,public/usercomment.php,yes,9276,2025-10-05 09:18:48,
classes/Http/Handlers/Public/AnnounceHandler.php,/../../../../public/announce.php,public/announce.php,yes,17987,2025-10-05 09:18:48,
classes/Http/Handlers/Public/ImgHandler.php,/../../../../public/img.php,public/img.php,yes,1829,2025-10-05 09:18:48,
classes/Http/Handlers/Public/RulesHandler.php,/../../../../public/rules.php,public/rules.php,yes,14950,2025-10-05 09:18:48,
classes/Http/Handlers/Public/AchievementbonusHandler.php,/../../../../public/achievementbonus.php,public/achievementbonus.php,yes,5214,2025-10-05 09:18:48,
classes/Http/Handlers/Public/CasinoHandler.php,/../../../../public/casino.php,public/casino.php,yes,29590,2025-10-05 09:18:48,
classes/Http/Handlers/Public/StaffpanelHandler.php,/../../../../public/staffpanel.php,public/staffpanel.php,yes,172,2025-10-05 09:18:48,
classes/Http/Handlers/Public/ForumsHandler.php,/../../../../public/forums.php,public/forums.php,yes,36916,2025-10-05 09:18:48,
classes/Http/Handlers/Public/MessagesHandler.php,/../../../../public/messages.php,public/messages.php,yes,210,2025-10-05 09:18:48,
classes/Http/Handlers/Public/HappylogHandler.php,/../../../../public/happylog.php,public/happylog.php,yes,2012,2025-10-05 09:18:48,
classes/Http/Handlers/Public/UserdetailsHandler.php,/../../../../public/userdetails.php,public/userdetails.php,yes,67079,2025-10-05 09:18:48,
classes/Http/Handlers/Public/VerifyHandler.php,/../../../../public/verify.php,public/verify.php,yes,3325,2025-10-05 09:18:48,
classes/Http/Handlers/Public/UserBlocksHandler.php,/../../../../public/user_blocks.php,public/user_blocks.php,yes,66396,2025-10-05 09:18:48,
classes/Http/Handlers/Public/MoviesHandler.php,/../../../../public/movies.php,public/movies.php,yes,22975,2025-10-05 09:18:48,
classes/Http/Handlers/Public/LotteryHandler.php,/../../../../public/lottery.php,public/lottery.php,yes,5101,2025-10-05 09:18:48,
classes/Http/Handlers/Public/BugsHandler.php,/../../../../public/bugs.php,public/bugs.php,yes,17146,2025-10-05 09:18:48,
classes/Http/Handlers/Public/RequestsHandler.php,/../../../../public/requests.php,public/requests.php,yes,32239,2025-10-05 09:18:48,
classes/Http/Handlers/Public/SnatchesHandler.php,/../../../../public/snatches.php,public/snatches.php,yes,5783,2025-10-05 09:18:48,
classes/Http/Handlers/Public/NewAnnouncementHandler.php,/../../../../public/new_announcement.php,public/new_announcement.php,yes,4781,2025-10-05 09:18:48,
classes/Http/Handlers/Public/SearchHandler.php,/../../../../public/search.php,public/search.php,yes,2009,2025-10-05 09:18:48,
classes/Http/Handlers/Public/ViewnfoHandler.php,/../../../../public/viewnfo.php,public/viewnfo.php,yes,2234,2025-10-05 09:18:48,
classes/Http/Handlers/Public/ViewAnnounceHistoryHandler.php,/../../../../public/view_announce_history.php,public/view_announce_history.php,yes,3204,2025-10-05 09:18:48,
classes/Http/Handlers/Public/ContactstaffHandler.php,/../../../../public/contactstaff.php,public/contactstaff.php,yes,4199,2025-10-05 09:18:48,
classes/Http/Handlers/Public/TopmoodsHandler.php,/../../../../public/topmoods.php,public/topmoods.php,yes,2187,2025-10-05 09:18:48,
classes/Http/Handlers/Public/AchievementlistHandler.php,/../../../../public/achievementlist.php,public/achievementlist.php,yes,4057,2025-10-05 09:18:48,
classes/Http/Handlers/Public/GetrssHandler.php,/../../../../public/getrss.php,public/getrss.php,yes,4104,2025-10-05 09:18:48,
classes/Http/Handlers/Public/StaffHandler.php,/../../../../public/staff.php,public/staff.php,yes,5420,2025-10-05 09:18:48,
classes/Http/Handlers/Public/UsersHandler.php,/../../../../public/users.php,public/users.php,yes,210,2025-10-05 09:18:48,
classes/Http/Handlers/Public/FriendsHandler.php,/../../../../public/friends.php,public/friends.php,yes,210,2025-10-05 09:18:48,
classes/Http/Handlers/Public/DetailsHandler.php,/../../../../public/details.php,public/details.php,yes,39907,2025-10-05 09:18:48,
