file,converted,todos,notes,rules_version,commit_sha
admin/class_promo.legacy.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
admin/comments.legacy.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
admin/namechanger.legacy.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
admin/reports.legacy.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
admin/reputation_ad.legacy.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
admin/shit_list.legacy.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
admin/sitelog.legacy.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
admin/system_view.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
admin/warn.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/AcpmanageHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/BackupHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/CommentsHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/DataresetHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/DeathrowHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/FindnotconnectableHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/MassBonusForMembersHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/MegaSearchHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/MemcacheHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/MysqlStatsHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/NamechangerHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/NewsHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/OverForumsHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/PromoHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/ReportsHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/ShitListHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/SiteSettingsHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/SitelogHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/SnatchedTorrentsHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/SystemViewHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/UpgradeDatabaseHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
classes/Http/Handlers/Admin/WarnHandler.php,false,0,ADMIN_REQUIRE_REPLACED,2025.10.23-admin-require,-
